,row carrier id,column carrier id,correlation
0,AA,AA,1.0
1,AA,AS,0.09629577889730241
2,AA,B6,0.263515435004403
3,AA,CO,0.15755173467747774
4,AA,DH,0.1330486690346942
5,AA,DL,0.16662224556558247
6,AA,EV,0.275239198339872
7,AA,F9,0.18422073733873404
8,AA,FL,0.19007492357913566
9,AA,HA,0.012831147246861175
10,AA,HP,0.25701692721514047
11,AA,MQ,0.8376682474651794
12,AA,NK,0.5803815477465523
13,AA,NW,0.11875113875367736
14,AA,OH,0.06660320729954532
15,AA,OO,0.24405623458131892
16,AA,TZ,0.5030578849909133
17,AA,UA,0.4270746370456721
18,AA,US,0.3733389764877141
19,AA,VX,0.23735058897683647
20,AA,WN,0.3440517935129883
21,AA,XE,0.08514439944365595
22,AS,AA,0.09629577889730241
23,AS,AS,1.0
24,AS,B6,0.05838936578124204
25,AS,CO,0.06924227850360166
26,AS,DH,0.019380804163903347
27,AS,DL,0.06244451704656409
28,AS,EV,-0.013164599874943802
29,AS,F9,0.10182222670347651
30,AS,FL,-0.004083556735517143
31,AS,HA,0.050356995990533567
32,AS,HP,0.14119747008819733
33,AS,MQ,0.024957110855551634
34,AS,NK,0.06805954944830751
35,AS,NW,0.04502745294209231
36,AS,OH,-0.01852564922398679
37,AS,OO,0.20231555927325218
38,AS,TZ,0.04945368299568799
39,AS,UA,0.20165268362586078
40,AS,US,0.014326954423473145
41,AS,VX,0.22705769065488496
42,AS,WN,0.19208364302256
43,AS,XE,-0.01485360404599416
44,B6,AA,0.263515435004403
45,B6,AS,0.05838936578124204
46,B6,B6,1.0
47,B6,CO,0.12631549383691568
48,B6,DH,0.18814790261665118
49,B6,DL,0.20688151411777808
50,B6,EV,0.04887416933133507
51,B6,F9,0.07100602479240235
52,B6,FL,0.15167751794958037
53,B6,HA,-0.008383458647105567
54,B6,HP,0.09546573600843078
55,B6,MQ,0.189206462495933
56,B6,NK,0.33169325237581787
57,B6,NW,0.07195113496058733
58,B6,OH,0.23686353879986893
59,B6,OO,0.027394687896944346
60,B6,TZ,0.25820383582225215
